Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"11","107","TEX/15","Cole Winn","RHP","18.5","6' 2""","195","R","R","Orange Lutheran HS CA","TCU","50","Med","Winn transferred to Orange Lutheran from Silvercreek High in Colorado and quickly became this draft's best Southern California prospect. Though his build is somewhat soft and he lacks physical projection, he has the prototypical pitcher's frame, a good delivery and plenty of present stuff and feel. Winn's fastball has flat plane and lives up in the zone, which nicely compliments his 12-6, snapdragon curveball which flashes plus and has a plus spin rate. He's also the best high school sequencer in the draft, able to locate any of his offspeed pitches in various effective locations and throw them for strikes to start at-bats. He projects as an above-average big league starter and is relatively polished for a prep arm, so he could move quickly. There's a 'rumor flying around about an underslot deal with the Giants at pick #2, but otherwise he's likely in the mix starting at pick 8.","JTWvLDwruWs",""
"12","109","MIN/20","Trevor Larnach","RF","21.3","6' 4""","215","L","R","Oregon State","","50","Med","Larnach hits low-lying lasers, with several balls off the bat in excess of 115mph during Oregon State's opening weekend in Arizona. If sneaky plus-plus raw power exists, Larnach has it, as he generates it without taking max-effort hacks. There are teams that don't like Larnach in this range because they think he's a bad defender and/or they are concerned about his 20% strikeout rate, But Larnach's career 15% walk rate should help satiate the stat-driven people in draft rooms and his power numbers could take a jump if pro instruction coaxes more lift out of his swing. He checks every box for the risk-averse, analytics-driven clubs, which means he has a lot of potential homes in the 10-20 range.","U7sjFBR3DkI",""
"13","","KC/18","Brady Singer","RHP","21.8","6' 5""","180","R","R","Florida","","45+","Low","Singer was a well-regarded prospect in high school who got results with an unusual delivery and low arm slot. The Blue Jays took him in the 2nd round. Negotiations broke down and Singer went to Florida where he was a standout from day one. There's plenty to pick apart here if you want to: his stuff still isn't loud, he doesn't get many whiffs from pro level hitters, his delivery turns off some scouts and his breaking ball is often fringy. Even scouts that like Singer think he has limited upside, but you can't argue with the results he has gotten in the SEC for several years and with his long track record of health. He has feel for pitching and a bulldog mentality, performing at the highest levels of amateur baseball. There's interest in Singer at multiple picks in the top 5, with Cincinnati at 5 the most rumored spot. He should move quickly and could be in a big league rotation in 2019.","zr81CO4HyzY",""
"14","","","Cole Wilcox","RHP","18.9","6' 5""","220","R","R","Heritage HS GA","Georgia","45+","Med","This spring, Wilcox surprised scouts who were not expecting him to be such a polished, zone-pounding pitcher. Wilcox is a good athlete who repeats his (non-traditional) delivery and has plus control, but you can't project his stuff to improve much because his frame is maxed out. On the bright side, his stuff is already plenty good, sitting 92-94 with above average life most days, and running up to 98 mph in a heavily-scouted playoff matchup with Kumar Rocker that Wilcox ended up winning. Wilcox also has a nasty, plus changeup that he'll use even against poor prep hitters that can't catch up to his fastball, and his changeup moves so much they still can't hit it. His slider was an above average to plus pitch in the summer and, with a slightly different grip this spring, the pitch has been more average to slightly above. It's still effective against right handed hitters. 

Wilcox will need a slight delivery adjustment to fix his direction to the plate but otherwise, along with Cole Winn, offers something close to a finished product that just needs to make small improvements. Some scouts pick apart Wilcox's delivery and arm action but there's some cognitive dissonance there as both are better than Casey Mize's and Wilcox, right now, looks something like what Mize looked like a year ago. There's plenty of teams showing lots of interest in the 10-20 range and the rumored $3 million price tag will likely be met.","mUKE04zP5UU",""
"15","","SD/7","Ryan Weathers","LHP","18.6","6' 2""","210","R","L","Loretto HS TN","Vanderbilt","45+","Med","Weathers is the son of former big league reliever David Weathers and has been a known prospect of interest since his sophomore year of high school. Though he's not built like most prep prospects, Weathers is remarkably athletic and a dynamite high school basketball player. His stuff has waxed and waned this spring, but when it's good, Weathers has arguably the best present three-pitch mix and pitch usage in the class. He's a short-strider, so the fastball is going to play down a bit due to poor extension, but otherwise he projects as a mid-rotation arm due to the quality of his secondaries, and is, potentially, a quick-moving one. He's in play as early as pick #7, then there seems to be a gap before his name starts coming up again in the late teens and early twenties. ","_NYKyhaRURs",""
"16","","WSH/27","Mason Denaburg","RHP","18.8","6' 3""","190","R","R","Merritt Island HS FL","Florida","45+","High","Denaburg is a legitimate pro prospect as a catcher, but it's clear that he fits best on the mound. His stuff was at it's best early in the spring when he was heavily scouted in a matchup with Carter Stewart. Denaburg was up to 97 mph with one of the most consistently 60-grade breaking balls in recent memory, which he located well. He came back last week after he missing a month with biceps tendinitis and while the curveball wasn't all the way back (expected), his changeup took center stage, flashing above average and striking out Triston Casas twice in the region final. As important as the pure quality Denaburg's breaking stuff is, his ability to keep it down beneath the strike zone, and to his glove side is also significant. He'll be able to attack both-handed hitters in that spot as soon as he steps on a pro mound. He's a high-ceiling high school arm who had some injury problems this spring. He's in teams' mixes in the 16-25 range.","UE-e6imiR6U",""
"---","","","Mike Vasil","RHP","18.2","6' 4""","201","L","R","Boston College HS MA","Virginia","45+","High","Most high schoolers from the Northeast are understandably behind the kids from Florida, Texas and other warm weather areas, developmentally. Vasil is not. He consistently locates a mid-90s fastball in the zone and can throw his curveball for strikes when he wants to. Though Vasil finished his 2017 summer sitting 93-95, he collected dust in the backs of teams' minds as baseball got underway everywhere but the Northeast the following spring. His season finally began in early April, then was put on hold on April 23rd when Vasil left his start with an arm injury. He returned after a month and was 93-96 in his first start back. Shortly thereafter, Vasil, whose adviser is his father, announced via Twitter that he was withdrawing from the draft and going to Virginia. Vasil submitted necessary paperwork to make himself draft-eligible weeks ago, which means he has to petition MLB to formally take him out of the draft pool. It sounds like that will happen.","m2OcV1yoX7M",""
"17","","SD/38","Xavier Edwards","2B","18.8","5' 9""","160","S","R","North Broward Prep HS FL","Vanderbilt","45","Med","A staple on the travel ball circuit for several years, Edwards has a long track record of performance against high-level pitching and his elite speed makes it likely that he plays a premium defensive position in pro ball, and plays it well. Like Madrigal, Edwards faces questions about his size, but power isn't part of his game and doesn't project to be. Instead, Edwards is a high-effort offensive catalyst who knifes at defenses with line drives and well-placed bunts. If you were picking teams for a schoolyard game among this year's high school crop, Edwards goes first. He's got a puncher's chance to come off the board before pick 15 and probably doesn't get out of the early 20's.","tuFOx2A8XHw",""
"18","","MIL/21","Brice Turang","SS","18.5","6' 1""","170","L","R","Santiago HS CA","LSU","45","High","As an underclassman, Turang looked like he might be the best prospect on a Southern California Area Code team that included Hunter Greene, Nick Allen, Jeremiah Estrada, Hans Crouse and several other excellent prospects. His balletic actions at shortstop and plus arm and athleticism gave Turang a stable floor, while his precocious feel to hit (he struck out just twice as a junior) and chance to grow into power made him a potential star. Turang looked like the best player in the class until last summer when he suddenly looked lethargic and uncomfortable at the plate. He's been better this spring, but not so great that concerns about his developmental direction have been quelled. Teams who value several years of performance are likely to value Turang more highly, and he should be off the board anywhere between the mid-teens and early twenties.","ImTzgRayiHA",""
"19","","LAA/17","Jordyn Adams","CF","18.6","6' 2""","180","R","R","Green Hope HS NC","North Carolina","45","High","Adams was not talked about as a top-3 round prospect in this class before late-March's NHSI tournament in his home town of Cary. Adams wasn't even one of the top dozen prospects at the event when it started, but looked like a sure first day pick by the end of the event. He offers top of the scale athleticism, which you'd expect from one of the top dozen wide receiver prospects in the country. He has 80 speed, a loose swing, plus bat control, projectable raw power and athletic actions. Adams wasn't a top tier baseball prospect entering the spring in part because of limited reps, since he was seen as likely to go to North Carolina to play football, where his father is the defensive line coach. He's now in line for a multi-million dollar bonus offer and is expected to sign. We think he goes in the 10-17 range.","dsaEZPyd02Y",""
"20","","OAK/9","Kyler Murray","CF","20.9","5' 11""","190","R","R","Oklahoma","","45","High","Murray was a nationally-known superstar quarterback in high school and, though he played shortstop as well, it was assumed that Murray would be the heir apparent to Johnny Manziel at Texas A&M. A shoulder injury limited Murray to DH'ing as a senior in high school and Murray formally opted out of the draft by refusing to submit to MLB's pre-draft medical disclosure. He went to A&M but split time with Kyle Allen as a freshman. Each of them transferred, Murray to Oklahoma, where he backed up Heisman winner and #1 overall pick, Baker Mayfield. For much of this time, Murray wasn't playing baseball.

Football at A&M and the time missed due to NCAA transerring rules limited Murray to 64 college plate appearances before this season. Despite it, he has been electric, showing even more physical ability than he had in high school and performing, slashing .290/.390/.550. He shows everything scouts could want to see after this kind of layoff and his only clear weakness is swing-and-miss against good off-speed stuff, both somewhat allowed with his power-based approach. And even more forgiveable when you consider he hasn't seen good pitching on a regular basis at any point in his baseball career. Given these factors, there's a reasonable chance he may be able to close that hole in his game with reps.

Murray is projected, but not a lock, to win Oklahoma's QB job in the fall. Teams aren't sure how much it would take to get him to give up football or if there's even a number that would do it, but some teams are kicking around multi-million dollar offers to see if they can buy him out. Given his size, baseball likely offers the most financial upside unless he's a Heisman level performer this year. With some recent changes to the CBA, spreading a bonus over 5 years and letting him play football (like the Blue Jays did with CF Anthony Alford) isn't really an option anymore.","xmMP-OHxKp8",""
"21","","SEA/14","Logan Gilbert","RHP","21.1","6' 5""","195","R","R","Stetson","","45","Med","Gilbert got the attention of Florida area scouts last year when he was regularly in the mid-90's with starter traits, and that carried over to a dominating Cape performance where he sat 92-96 with above average command and off-speed. This spring he started, as many pitchers do, a couple ticks lower but instead of getting back to his old velocity, it continued to slip amid a number of high pitch count outings. Gilbert has taken the ball every week and has performed well, with velocity ranging from 88-91, touching 92 mph in some starts, and sitting 90-94, touching 95 in others, including his last few before regionals.

The command, frame and athleticism are stable constants, so he'll still go comfortably in the first round, but there isn't a clear reason for the velo drop. Some scouts are speculating it's a small injury that won't keep him from pitching right now, but shutting him down may bring the velo back next spring. Others think Gilbert would (as many pitchers do) lose a few ticks under a pro workload and become this guy in a few years anyway. Clubs close enough to contention that want immediate pitching help are on Gilbert, like the Mariners, Twins and Angels.","l0Jw6egZzJg",""
"22","","MIA/13","Connor Scott","CF","18.7","6' 4""","185","L","L","Plant HS FL","Florida","45","High","Scott was a big name as a freshman at Plant High School as he was the spitting image of teammate and eventual #5 overall pick Kyle Tucker, with a lanky frame and loose, gloveless, lefty swing. Scott is a superior athlete to Tucker, as Scott has been into the mid-90's on the mound with three average or better pitches and 70 speed that profiles in center field. Scott doesn't appear to like pitching so scouts haven't seen him throw much, but he's easily a top-5 round prospect on the hill. While he's played in some high-profile prep games around Tampa (mostly for scouts who are based in the area), Scott only went to a few national events this summer.

This, combined with a number of minor spring injuries (hamstring and concussion the most notable) have made Scott hard for decision makers to see, and thus slid him down around the 20's rather than around 10, where his tools belong alongside Kelenic and Gorman at the top of the class. Some scouts that got positive preseason looks predicted Scott would be this year's Austin Beck and shoot into the top 10 picks, but that likely won't happen. It's unclear if this uneven track record is predictive of Scott not hitting his upside, but some teams are treating it that way and we also simply didn't get enough looks to pound the table in the top half of the first round.","0xcsCdAtkPM",""
"23","","KC/34","Daniel Lynch","LHP","21.5","6' 4""","195","L","L","Virginia","","45","Med","On the Cape and the first half of this spring, Lynch was a solid 3rd round prospect that pitched at 88-92 mph with mostly average stuff and above-average feel and command. In the last month or so, Lynch's velo has ticked up, and down the stretch he's been sitting 92-94, hitting 95 mph deep into starts with an assortment of offspeed pitches that all flash above-average. It's obvious from observing Lynch that he isn't a fan of the Virginia pitching style, its characteristic mechanics and reliance on breaking balls. Most scouts have viewed this as positive as they aren't a fan of it or UVA's overall track record with pitching (Hultzen, Kirby, Jones, etc.) either and like that Lynch knows how he wants to pitch. He throws a cutter, slider, curveball and changeup that all flash above-average, with his slider occasionally flashing plus. Lynch, like many college pitchers including Florida's Brady Singer, doesn't throw his changeup much but it shows enough promise that it could be an above-average pitch with greater use. The Yankees are among the teams bearing down on Lynch down the stretch and he'll likely find a home in the 20's.","6QraMEyUSuI",""
"24","","NYY/23","Anthony Seigler","C","19.0","6' 0""","190","S","S","Cartersville HS GA","Florida","45","High","Seigler was known entering summer showcase season as somewhat of an oddity: a switch-hitting, switch-throwing catcher who is also an ambidextrous reliever. As the summer wore on, Seigler was chosen as the backup catcher for Team USA and quickly took the starting job from fellow Georgia prep catcher, Will Banfield, due to his innate present feel for contact at the plate and receiving behind it. 

This spring he's steadily moved up boards, into the late first round area, because Seigler has been putting the bat on the ball and lifting it in games against top Georgia high school competition. Seigler is an average runner with an awkward gait, but even if he loses a step as he ages he'll still be an above-average athlete for the position. Some teams don't like the horrendous track record of prep catchers and have considered moving Seigler to an infield spot in pro ball, but most would not since he's already so advanced, defensively. His plus arm and active framing and receiving reminds some of M.J. Melendez from last year's draft, but Seigler is more advanced offensively, though a bit less twitchy. The Royals took Melendez last year and are the most interested team in Seigler, along with the Dodgers (who love multi-positional, athletic catchers), Braves and D'Backs. Seigler's mother is Navajo. He'd be the first Native American big leaguer to debut since Joba Chamberlain and second ever Navajo, joining Jacoby Ellsbury.","Pygpv-Fofq",""
"25","","KC/33","Jackson Kowar","RHP","21.7","6' 5""","180","R","R","Florida","","45","Med","Kowar had a seven figure asking price coming out of high school that was just out of reach for clubs. He was set to head to Clemson until a late coaching change and the Tigers lost Kowar to Florida and Cal Raleigh (lower on this list) to Florida State. Kowar's velocity ticked up before he even played in an official game for the Gators, sitting 93-95 and hitting 97 mph in preseason scrimmages before his freshman year. He's kept that velocity for the most part throughout his college career and he's also kept the plus changeup that he's had since back in high school. The two issues for Kowar are his very short stride, which causes his velocity to play down and secondly, his breaking ball. It's never been good and it got close to average with the velo spike improving his arm speed, but it's still most often a below average pitch, with curveball velocity and three-quarters slider shape.

A good pitching program may be able to tweak the pitch using TrackMan or Rapsodo in a pitch design type setting, or just scrap it altogether and try something like a cutter or slider. This is almost an identical issue to what Luke Weaver had coming out of Florida State and he's largely solved it with the help of a good pitching program with the Cardinals, so the team that picks Kowar could have a bigger influence in his outcome than most comparable talents.","6Gnu6dq3LLQ",""
"26","","CLE/29","Noah Naylor","C/3B","18.3","6' 0""","205","L","R","St. Joan of Arc HS CAN","Texas A&M","45","Med","The younger brother of Padres prospect Josh Naylor, 'Bo' is a better athlete with similar feel to hit, but less raw power. He has the neccesary twitch and just enough pure arm strength to catch as long as his throws becaome more accurate. There's a subsection of teams who like him better at third base because they think he'll move more quickly through the minors by avoiding the developmental burdens of catching and/or because the physical grind of catching often dilutes offensive production. Naylor is athletic enough for this, as well. Even if Naylor's in-game power manifests itself as doubles, he profiles at either spot.","Kw1WbfI4Zg8",""
"27","","ATL/49","Greyson Jenista","RF","21.5","6' 4""","240","L","R","Wichita State","","45","High","Jenista has a somewhat unusual combination of frame and tools for a first round hitter. At 6'4/240, normally prospects of that size have real issues with athleticism, defense, and offensive limitations, and go outside of the top few rounds. The difference is that Jenista has plus athleticism for his size, turning in average run times and playing some center field for Wichita State. He also plays some first base but fits best in pro ball in right field, where his 55 arm plays. At the plate, Jenista is something like a post-peak Adam Dunn or Lance Berkman, with patience and also some wild swings and misses early in the count, but 65-grade raw power that can punish mistakes. Jenista also has a more flat-planed swing that is ripe for a loft-inducing tweak.","v7_ASPpiKVo",""
"28","","TOR/12","Jordan Groshans","3B","18.6","6' 4""","190","R","R","Magnolia HS TX","Kansas","45","High","Groshans is a pretty volatile power-hitting prospect who currently plays shortstop on his high school team but probably ends up at third base, and maybe an outfield corner, at maturity. A portion of the industry would also like to smooth out Groshans' swing, but he's shown natural bat control and has the strength in his hands to do damage even if he doesn't time his stride well. This was evident last summer in the PG All American game when Groshans tomahawked a 95mph fastball off the Western Metal Supply building at Petco. There's some swing and miss risk here, which is particularly troubling if you don't like Groshans' hands and think he ends up in right field, but the tools package is electric and he could be selected in the middle of round 1 and probably doesn't get out of the comp round.","f-TuuK1yB5k",""
"29","","","Kumar Rocker","RHP","18.5","6' 5""","250","R","R","North Oconee HS GA","Vanderbilt","45","High","Rocker was a famous name in this class as a sophomore in high school when his loose, quick arm was running his fastball into the mid-90's. Since then, Rocker has filled out considerably at roughly 6'5/250, taking after his father Tracy, a former NFL defensive tackle who is the defensive line coach for Tennessee. Rocker topped out at 99 mph over the summer and has been considered a first round pick for years, but had his worst outing of the spring in his last outing, losing a playoff matchip to Cole Wilcox. At his best this spring, Rocker would sit 93-96, hitting 98 mph with a hellacious two-plane slider that was a 65 or 70 pitch for most scouts. His changeup wasn't needed much but flashed average at times and his command was average with control a hair better than that, though some scouts don't love his mechanics.

The questions on Rocker were 1) maintaining his current physique 2) maintaining his athleticism to repeat his delivery and stay a starter and 3) having enough feel to pitch and deception to flourish when he doesn't have his premium stuff. Rocker was often pitching on a week or more of rest this spring, so scouts didn't see diminished stuff until the Wilcox outing, when Rocker was sitting mostly 90-93 mph, dipping into the high 80's in the 4th inning with a breaking ball that was a 50 or 55. His command wasn't as good that day and Rocker was hit around some, visibly frustrated. Granted that was one outing, but it could be considered a concern about a prep pitcher with no physical projection that will likely lose a tick or two of velocity as he matures.","i9ljeJlzB5A",""
"30","","COL/22","Ryan Rolison","LHP","20.9","6' 2""","195","R","L","Ole Miss","","45","High","Rolison was a big name out of high school, reportefly turning down seven figures to go to Ole Miss knowing he would be an eligible sophomore due to his age. He's had an up-and-down spring, coming out of the chute blazing hot, leading to top-10 pick momentum for the first month of the season, then slowly regressing in performance, fastball command and changeup usage. Most scouts think Rolison needs a delivery adjustment in pro ball to make himself more online to the plate as a way to improve his fastball command. That would likely tease out a bit more performance from Rolison's above-average stuff, but he's been too reliant on his plus curveball. To that point, hitters late in the season would sit on the pitch, knowing he had trouble locating his fastball and he barely threw his changeup, including his disastrous outing at South Carolina where he allowed 11 runs. Rolison has interest as high as 11th overall to Baltimore and a couple other spots in the teens, but his mixed second half of the season has his likely range more in the 20s.","ayEAfzM9lDo",""
"31","","LAA/57","Jeremiah Jackson","3B","18.2","6' 0""","175","R","R","St. Luke's Episcopal HS AL","Mississippi State","45","High","Jackson was bad last summer. He was swinging through pitches in the zone at Area Codes and made some defensive mistakes, so while he looked great in the uniform and taking BP, there was skepticism surrounding his on-field ability. This spring, Jackson got glasses and became such a dominant force of nature that he was intentionally walked in 11 of his final 13 high school at-bats. There's some concern that Jackson's spring is fool's gold as he's performed against bad high school pitching. We're buying the corrected vision makes a significant difference and think he'll hit and stay on the dirt. He projects as a good everyday third baseman.","7Gf--7lf_pk",""
"32","","TB/32","Nick Schnell","CF","18.2","6' 2""","180","L","R","Roncalli HS IN","Louisville","45","High","Schnell moved up into the thick of prep outfielders in the late-first through early-second round mix this spring because he has gone bonkers at the plate this year, launching home runs seemingly in every game, often more than once. Schnell is a 55 to 60 runner with a plus arm that has a chance to stick in center field, depending on how his frame fills out and how his quickness develops. He projects for plus raw power and has been getting to it in games. That said, many of his homers this spring, against middling competition, have been to the opposite field and some scouts are worried that a deep hand load/arm bar is making him late on less-than-premium stuff rather than him showing impressive opposite field game power.

Schnell also has a bit of a medical history, with a multi-sport background that includes multiple concussions and numerous other lesser injuries. The upside here is 5 hit and 6 everything else which is considerable and many draft models give extra credit to hitters from Northern states that are young for the class and Schnell is both. He's in play at a number of picks in the 15 to 30 range, or possibly as an overpay in the compensation rounds.","ISk4togAcBA",""
