Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"11",,"14/PHI","Bryson Stott","SS","21.6722222","6' 3""","195","L","R","UNLV",,"45+",,"Teams fall into one of three groups when evaluating Stott. There are teams that think, despite his size and atypical throwing stroke, that he'll stay at shortstop and hit for some power. Those teams are highest on him. Then there are teams that think he'll just do one of those and, finally, those who think he'll do neither. His swing is geared for low ball contact, and he hits pitches near his shoetops to all fields, with power. But the swing's length and bat path creates doubt that Stott will get to velocity up and/or in. Lefty-hitting shortstops with power are rare, and Stott has a shot to be one, but he's riskier than is typical for a college bat who has two years of strong numbers.",,
"12",,"8/TEX","Josh Jung","3B","21.3222222","6' 2""","215","R","R","Texas Tech",,"45+",,"If he's going to get to all of his considerable raw power, then Jung (pronounced 'young') is probably going to need a swing change that enables him to pull the ball more consistently. He inside outs an awful lot of pitches, though Jung's strength and feel to hit enables a high quality of contact despite this. He's a .346/.452/.562 career hitter at Tech and has more walks than strikeouts over the past two years. Originally thought to be a risk to move to first base, Jung not only allayed those concerns but also played a passable college shortstop this season. He comfortably projects to third base in pro ball. He's a potential everyday player and likely goes somewhere in the middle of the first round.","RlBShzGPoCY",
"13",,"11/TOR","Alek Manoah","RHP","21.4138888","6' 6""","250","R","R","West Virginia",,"45+",,"Manoah is a big-bodied late bloomer from South Florida who wasn't a top notch recruit but developed into an elite prospect in his sophomore year in Morgantown. He took a softer 6-foot-6, 270 body and got in better shape for the spring, and it took a high effort relief type into a possible workhorse mid-rotation starter. Manoah still stands out for his fastball/slider combo and the changeup and command are around average, so it may be more of a power multi-inning arm than a true 200-inning starter, but his two best features are also TrackMan friendly. This means that progressive clubs see a quick-moving arm with Lance McCullers-type qualities, and traditional ones see someone they could mold into a power starter.","xjl8MA97TKA",
"14",,"9/ATL","Shea Langeliers","C","21.5555555","6' 0""","190","R","R","Baylor",,"45",,"Langeliers was a mid-tier prospect in high school and took a big step forward as a freshman at Baylor, developing the raw power to be more than just a catch-and-throw type. He still didn't put up much in the way of traditional high-end production until the second half of his draft year, after a quick return from a broken hamate bone. Langeliers' frame is compact and stout, and his bat's impact is a question mark, but the tools are here for an impact starter.",,
"15",,"15/LAA","Will Wilson","2B","20.8805555","6' 0""","175","R","R","North Carolina State",,"45",,"Wilson doesn't have the traditional markers to go this high: medium frame, average tools, backward K/BB ratio. That said, he's a plus makeup guy who many scouts think can go behind the plate akin to some recent Dodgers multi-positional catchers, he gets the most out of his swing with a progressive, power-based approach, he's been super productive, and he's young for his class. It's probably a 50 or 55 PV at his peak, but Wilson is the versatile intagibles-heavy type who winning teams have on the roster.",,
"16",,"25/LAD","Kody Hoese","3B","21.9027777","6' 4""","200","R","R","Tulane",,"45",,"Hoese was just a name on a list of guys to monitor this spring unti March when the scouting community sat up and recognized the insane statistical season he was putting up. After putting up an .803 OPS in his draft-eligible sophomore year (he went in the 35th round and didn't sign), he put up a 1.276 OPS in his junior year, with 23 homers and a 38/30 BB/K ratio. While he's 6-foot-4, 200 pounds and a late-bloomer, he projects to be an average defender with an average arm at shortstop and has the bat speed to project continued performance at higher levels. There's a posture issue to fix in his swing, but clubs will be wary of trying to change too much while everything is going well.",,
"17",,"18/PIT","Quinn Priester","RHP","18.7305555","6' 3""","190","R","R","Cary-Grove HS IL","TCU","45",,"Priester was another early-identified prospect, standing out for his projection, athleticism, and average stuff as an underclassman from a northern locale. His stuff was mostly 50 or 55 on the summer circuit, with some buzz in the spring that he'd come out strong with firmer stuff. In late starts with a couple dozen high-level scouts packed in behind home, he would start games at 92-96 mph, and mix in a curveball and changeup that have flashed above average potential. He checks the boxes of clean medical, delivery, arm action, and mid-rotation stuff with feel. He's in the general area of Ian Anderson and Matthew Liberatore, he just didn't show multiple plus pitches for over a year like those guys did.",,
"18",,"19/STL","Zack Thompson","LHP","21.6111111","6' 2""","225","S","L","Kentucky",,"45",,"If not for concerns surrounding an elbow injury that cost Thompson much of 2018, he'd likely be in the top group of college arms. He belongs there on stuff and pitchability. In fact, he's a much better touch and feel pitcher than Manoah and Rutledge, deftly spotting his changeup on the corners and setting up both of his breaking balls with intelligent fastball location. He has a four-pitch mix and knows how to use it, he's athletic, and throws hard. He'll likely come off the baord in the middle of round one.",,
"19",,"20/SEA","George Kirby","RHP","21.3333333","6' 4""","210","R","R","Elon",,"45",,"Kirby had a very loud performance this spring, twirling 107 strikeouts to six walks in 88 innings for Elon. He's got at least above average command and plus control along with a plus fastball that works 91-96 and touches 97 mph. He's got a good frame and no medical hiccups but his offspeed stuff is often just average, with the curveball flashing 55 at times and the changeup usually solid average at best. It's a No. 3/4 starter profile that's valued most by clubs that like performance and fastball quality/command as a leading characteristic.",,
"20",,"89/NYM","Matthew Allan","RHP","18.1416666","6' 3""","210","R","R","Seminole HS FL","Florida","45",,"Allan was one of the top few pitchers in the class for a while, including all summer. He flashed 55 or 60 with all three pitches in short stints at multiple events, then came out this spring with more arm speed, sitting 93-96 and hitting 97 mph in most of his starts. His curveball also ticked up and flashed 65 or 70 on his best outings, and though he didn't throw his changeup much in high school, it did flash 55 over the summer. Allan isn't very projectable and is an average athlete, while his command has been consistently below average with this higher octane stuff, so some teams worry this is a classic prep righty bust where clubs fall in love with the raw stuff. His velo would also sit 90-93 at times down the stretch and some teams are worried there could be a minor medical hiccup, which, combined with Allan's $4 million pricetag and committment to Florida, could make him the second most likely prep player in the draft to go to college behind Jack Leiter.",,
"21",,"17/WSH","Jackson Rutledge","RHP","20.1861111","6' 8""","260","R","R","San Jacinto JC TX","Kentucky","45",,"After he was unable to accrue playing time at Arkansas, Rutledge transferred to San Jacinto and spent 2019 dominating JUCO hitters. He's a physical beast with some of the best velocity and breaking stuff in the draft, but there are questions about his build, athleticism, and injured hips. Despite lacking a changeup, Rutledge has the pitch mix and pitch utility to start. In addition to solid east/west fastball command, he can drop his curveball in the zone for strikes and back foot either of his breaking balls to lefties. Several teams in the eight through 14 range had Rutledge in their mix as the draft approached.",,
"22",,"13/MIN","Keoni Cavaco","3B","18.0166666","6' 0""","185","R","R","Eastlake HS CA","San Diego State","45",,"A growth spurt bouyed Cavaco's tools and draft stock, as he's this year's most prominent pop-up high school prospect. He may have the best frame in the entire draft but has already grown into considerable power, which he gets to in games despite an awkwardly-timed stride. At times clumsy on defense, Cavaco may still be growing into his new body. He may end up at second or third base (where he played as an amateur) or get a try in center field if his hands and actions don't improve. He's one of the draft's higher risk, higher reward prospects.",,
"23",,"33/ARI","Brennan Malone","RHP","18.75","6' 5""","210","R","R","IMG Academy HS FL","North Carolina","45",,"Malone has been a physical athlete with arm speed for years, like most of the top prep pitchers in this class. He really took a step forward this spring after transferring to IMG Academy in Bradenton, FL from his home in North Carolina. Similar to how Touki Toussaint has evolved, Malone switched to a more controllable verison of his breaker, a 55-grade slider that he can dot anywhere. Malone still works 93-96 and hit 99 mph in his last outing of the spring in front of a lot of heat. His curveball and changeup are both about average and his performance against strong competition this spring helps him with progressive clubs that aggressively chart prep outings.",,
"24",,"31/LAD","Michael Busch","1B","21.5805555","6' 0""","207","L","R","North Carolina",,"45",,"More athletic than is typical for a first base/corner outfield prospect, Busch has several years of strong statistical performance at UNC and is a high-effort player.",,
"25",,"85/CIN","Tyler Callihan","3B","18.9611111","6' 1""","200","L","R","Providence HS FL","South Carolina","45",,"Callihan was a beefy power bat early in the summer, then looked like a different guy in the fall at the Diamond Club showcase in Lakeland, shedding 10-15 lbs and looking more athletic. He's dabbled with catching a bit but scouts don't think there's much upside there, projecting him to play third base in pro ball, and due to his boxy frame, possibly moving to first base eventually. The selling point here is a bat that almost every scout projects as a 55 or 60 hit tool and game power, too, with 60 raw and loud performance against good pitching for a year. He's old for the class and has a limited upside, with only a little margin for error between here and being a platoon first baseman, but the track record of advanced hit/power prep prospects is solid.",,
"26",,"69/BOS","Matthew Lugo","SS","18.0805555","6' 1""","185","R","R","Beltran Academy HS PR","Miami","45",,"Lugo stood out most of the summer as a first round type of shortstop with 50 or 55 tools across the board. He had a slow start this spring and has been a little tougher to see than the typical prospect in the southeast, because you have to fly to Puerto Rico the day before and then only get one game a day, when you could easily have 5-6 quality games if you hung around major metro areas like Atlanta or Orlando for the same period. Lugo has interest as high as St. Louis at 19, and likely goes by the Arizona picks at 33 and 34.",,
"27",,"22/TBR","Greg Jones","SS","21.2527777","5' 11""","170","S","R","UNC Wilmington",,"45",,"Jones popped up late as a high school senior, too late for teams to grow confident in his tools, as he was both raw and old for the class. Now a draft-eligible sophomore, Jones had a monster year during which he hit for power, stole 40 bases, and improved at shorstop. He's a high risk college player slated to go in the middle of the first round.",,
"28",,"36/TBR","J.J. Goss","RHP","18.4527777","6' 3""","185","R","R","Cypress Ranch HS TX","Texas A&M","45",,"Goss is one of the more unique high school pitchers in the class, a plus athlete with a funky cross-body delivery, and a dynamic two-pitch mix.",,
"29",,"29/OAK","Logan Davidson","SS","21.4777777","6' 3""","185","S","R","Clemson",,"45",,"Davidson turned down an offer from Arizona out of high school worth well into the seven figures, which he'll almost certainly best this spring. He's a big, switch-hitting 6-foot-3 shortstop who can stick at the position in pro ball and has above average raw power from both sides. The issue is that he hasn't hit well with wood bats over the summer and has always had plenty of strikeouts to go with his homers in the spring (42 career HR, 20% career strikeouts). Some scouts worry that he'll be more of a 30-35 bat in pro ball who doesn't get to his power, making him a utility guy, while others see another candidate for an offensive adjustment that could make him a 45 bat, 55 power standout everyday player.","CIxwpUggH0Y",
"30",,"46/MIA","Nasim Nunez","SS","18.8055555","5' 9""","165","S","R","Collins Hill HS GA","Clemson","45",,"Nunez stood out all summer for his contact skills, plus speed, and glove and arm strength, then took a step forward this spring when he added some strength to his frame. It's probably 45 or 50 raw power at peak, but now being unable to punish mistakes isn't an offensive issue like it used to be. He figures to fit in the 20s or 30s.",,
"31",,"35/MIA","Kameron Misner","RF","21.4166666","6' 4""","219","L","L","Missouri",,"45",,"Misner was a name on a list for national scouts entering the fall, as he wasn't on a powerhouse squad that got scouted extensively in 2018 and didn't play in the summer. The power is huge -- a future 70 for some scouts -- and he's an above average to plus runner underway and was in the first round on most boards entering the spring, where he started hot and got top 10 momentum. As he entered SEC play, the only time he's even been watched closely against strong pitching, Misner wasn't good. He posted a .668 OPS with 21/39 BB/K ratio in 131 plate appearance. His swing flaw is tied to a toe tap he uses for timing, which has been terrible against mid-90s stuff since he stays back/coiled so long that his stride length/power varies swing to swing and he has no rhythm. Misner is now 21 with no track record of success against strong pitching his age, but with rare tools, so he's closer to a popup prep bat than most college bats in terms of risk and the information clubs possess to make decisions.",,
"32",,"71/BAL","Kyle Stowers","RF","21.4333333","6' 3""","205","L","L","Stanford",,"45",,"Stowers had a middling year due to issues with swing and miss, partially because he takes such a big, aggressive hack. That style of swinging is appealing to many teams, though, as it makes it likely that he'll hit for power in games. A sneaky good defender in center field, Stowers has some margin for error on the swing and miss if he can stay there. He'd be swing-appropriate for the Dodgers.",,
"33",,"24/CLE","Daniel Espino","RHP","18.425","6' 2""","200","R","R","Premier Academy HS GA","LSU","45",,"Espino burst onto the national scene last summer hitting 100 mph at multiple events and flashing two plus breaking balls. That alone is enough to go on the first day if the health checks out, which Espino's does. The neutral aspect is that he's a maxed-out 6-foot-2, 200 pounds. The negative aspect is a very long arm stroke and as you might guess, a power approach rather than fine command. No prep prospect can be everything as an 18-year-old but Espino's velocity was 95-98, touching 100 this spring in early starts with lots of rest and was more 92-96 touching 97 when on normal rest. Pitchers lose velocity as they age, so many teams prefer a more conventional delivery and arm stroke, and a pitcher with average stuff and good feel who can grow into power stuff, rather than a power pitcher who has to learn feel only when his stuff declines. The recent track record of prep pitchers who hit 98-100 before the draft is riddled with injuries and command regression. With prep pitching being so subject to specific team tastes to try to avoid busts and attrition, many teams are out on Espino on Day 1 and others, particularly the more progressive clubs that value velo, spin rate, high octane stuff in shorter stints, and area control with that stuff, are interested in the 20s and 30s.",,
"34",,"26/ARI","Blake Walston","LHP","17.9444444","6' 4""","175","L","L","New Hanover HS NC","North Carolina State","45",,"Walston popped up pretty late, at a point in March when multiple clubs were sending in heat week after week to get some history. Some teams were out when they got multiple outings where he was mostly 84-89, while others are still hot on his trail. We saw him late when he was opening 90-93, cruising 88-91, and reaching back for 93 when he needed it. Walston is young for the class, is ultra projectable, is an above average athlete, and throws two versions of his curveball with the harder slurve flashing 65- or 70-grade when it's on while the slow one is a consistent 60. There's feel for a changeup and command, but this is a projection case and some have mentioned names like Cole Hamels on where this could be headed. He'll be a tough sign but is expected to go late first or in the comp round.",,
"35",,"615/NYY","Jack Leiter","RHP","19.1305555","6' 1""","195","R","R","Delbarton HS NJ","Vanderbilt","45",,"The toughest sign in this class, Leiter has a strong Vanderbilt commitment and may only be willing to sign with a few clubs. His command was inconsistent over the summer, but Leiter is a plus athlete with a good body, he has the best high school breaking ball in the class, a spin axis that is covetted among progressive clubs, and his fastball plays at the top of the strike zone. Though he's old for the class, Leiter is one of its best high school arms.",,
"36",,"1046/SFG","Brooks Lee","SS","18.3166666","6' 1""","180","S","R","San Luis Obispo HS CA","Cal Poly","45",,"Lee is a flashy shortstop defender with good bat speed. As is typical for switch-hitters this age, both swings are in need of polish. Projections on the bat vary. Lee is committed to Cal Poly, where his father coaches. He's rumored to be a target of Arizona, Los Angeles, and Tampa Bay in the late first and comp round.",,
"37",,"931/LAA","Spencer Jones","1B/LHP","18.0666666","6' 7""","205","L","L","La Costa Canyon HS CA","Vanderbilt","45",,"An intriguing two-way prospect and athlete, Jones had middling tools on both sides of the ball but had one of the biggest, most projectable frames in the draft. Teams hoped he'd emerge during his junior spring, but Jones fractured his elbow early in the season and was done for the year. He'll be a tough sign, but teams who think he could be a true two-way player may be motivated to pay him. He'll sit in the upper-80s on the mound and has a great curveball. Offensively, Jones already has considerable power and will likely grow into more. He's also a massive, athletic target at first base.",,
"38",,"30/NYY","Anthony Volpe","SS","18.1111111","5' 11""","180","R","R","Delbarton HS NJ","Vanderbilt","45",,"The steadiest infield defender in the class, Volpe compares similarly to Oakland A's shortstop, Nick Allen, when he was a high schooler. Volpe will likely be a plus shortstop defender and has good feel for contact, but he lacks strength and physical projection that enables teams to anticipate it will come. He also reportedly wants about $3 million to sign, which is too rich for lots of teams and much more than Allen got a couple years ago. Volpe may end up at school, but if he signs he projects as a low-end shortstop regular.",,
"39",,"55/LAA","Kyren Paris","SS","17.575","6' 0""","170","R","R","Freedom HS CA","California","40+",,"Paris is closer in age to many international free agent prospects than he is to some of the older high schoolers in this draft. He is fast, capable of staying at shortstop, and has one of the more projectable frames in the class. Paris' showcase summer contact was middling, but better the following spring. Some teams think it's just a product of facing weaker pitching; others think he's truly emerging and cite his age as evidence that late improvement is legitimate. Draft models that factor in age likely have Paris very high on some teams' boards, probably in the late first round mix.",,
"40",,"42/BAL","Gunnar Henderson","3B","17.9416666","6' 3""","195","L","R","Morgan Academy HS AL","Auburn","40+",,"Henderson has late helium to multiple teams in the teens but may fall more into the late 20s or 30s, which is where most scouts have him. He's shown performance at times, but faced weak competition this spring, so some clubs are still skeptical about the offensive ceiling. He's a shortstop for now, though he more likely shifts to third base down the line. But he's young-for-the-class and offers five tools that are 50 or 55.",,
"41",,"62/COL","Aaron Schunk","3B","21.8722222","6' 2""","203","R","R","Georgia",,"40+",,"Schunk is yet another college swing change candidate. He has above average to plus defensive ability and arm strength to the point where some scouts think he may also be able to catch. Schunk also pitches in the low-90's in relief for a loaded Georgia squad. His offensive approach is mostly line drive/grounders to the opposite field, but he has 15-20 homer raw power if he would pull and lift the ball more. His approach is solid and may also benefit from a professional approach, so teams see upside beyond the wide base of tools and solid performance.",,
"42",,"718/NYM","Hunter Barco","LHP","18.4805555","6' 4""","208","L","L","Bolles HS FL","Florida","40+",,"Barco was on the radar early and drawing comps to lower-slot elite lefties in the draft like Madison Bumgarner did when he was a prep underclassman. His velo was around 88-91 with a lower slot most of the showcase circuit, then he showed mostly 90-93, touching 96 mph this spring, sometimes flashing a consistently solid average breaker and at other times struggling to land it. His low-spin splitter is a true plus pitch if not closer to 70. He was shut down late in the season with a shoulder muscle strain but hit 96 mph in a private workout with Milwaukee, so the health scare looks to be behind him. Clubs that like the separator splitter, two-way athleticism, and deceptive velo will bet they can figure out the command/breaker, while others see a lefty with inconsistent stuff and arm slot who relies on a splitter.",,
"43",,"47/DET","Nick Quintana","3B","21.6527777","6' 0""","185","R","R","Arizona",,"40+",,"A very prominent high school prospect, Quintana matriculated to Arizona and became a core of their lineup almost immediately. Though his swing is somewhat grooved, he's an athletic swinger with power who is also quite good at third base. He's in the mix for teams picking 30-50, with Boston and Arizona as rumored landing spots.",,
"44",,"39/MIN","Matt Wallner","RF","21.4888888","6' 4""","220","L","R","Southern Mississippi",,"40+",,"Wallner hit for power all three years of college, even while pitching part time as a freshman and sophomore. He has some of the most explosive raw thump in the entire class, and will hit balls 10 rows into the bleachers even when he doesn't get fully extended. He has some moderate swing-and-miss issues characteristic of hitters who have power-driven approaches, but he's also willing to take a walk. His is a traditional right field profile, and he's in the mix with late first, early second round college power bats.",,
"45",,"32/HOU","Korey Lee","C","20.8694444","6' 1""","205","R","R","Cal",,"40+",,"Lee no doubt benefitted from decision makers picking in the top five to 10 coming in to see Andrew Vaughn, as his name seems to be in the mix at many of those teams' second picks. He's a stocky, athletic catcher with a fine arm, and surprising bat speed and power. He hit .320/.420/.626 this year, emerging as a likely Day 1 selection. Lee hasn't caught a lot of pro-quality stuff at Cal, so that part of his skillset remains somewhat unclear, but we think he's athletic enough to improve if it's initially an issue.",,
"46",,"23/COL","Michael Toglia","1B","20.8111111","6' 4""","205","S","L","UCLA",,"40+",,"He didn't have the statistical season we hoped/anticipated he would, but Toglia remains a rare sort of prospect. He's a switch-hitter with power from both sides of the plate, who is also a plus defender at first base. He got hot late in the year, but was probably already too far out of the first round mix to have climbed back in, though he may be a comp round target.",,
"47",,"683/SDP","Maurice Hampton","CF","17.8527777","6' 0""","195","R","R","Memphis University HS TN","LSU","40+",,"Hampton was a hot name over the summer for his loud, 105+ mph batted balls and his big time tools and model-friendly age at 17.9 on draft day. This spring, teams have continues to doubt his ability to hit, with a raw feel to hit that some think may never come all the way around, but power/speed/defense to still project as a low-end regular without a 50+ hit tool.",,
"48",,"43/BOS","Cameron Cannon","3B","21.6444444","5' 10""","196","R","R","Arizona",,"40+",,"Two years of elite statistical performance -- including a .390/.480/.640 line as a junior -- and more walks than strikeouts will have Cannon in the second or third round. He can't play shortstop, but has a shot to play second or third. Perhaps most interestingly, he has hit as well has he has despite very conservative use of his lower half, something that might be changed to enable him to hit with more power in pro ball.",,
"49",,"137/BOS","**Noah Song","RHP","22.0277777","6' 4""","200","R","R","Navy",,"40+",,"The way teams value Song depends on whether or not they feel confident the U.S. Department of Defense will re-write service academy athlete policy. Currently, Song must complete two years of Naval service. This administration may reinstate an Obama-era rule that allows athletes to petition for an exemption to pursue sports. If that rule were currently in place, Song would go in the top 50. He throws hard, attacks hitters with his fastball and slider, and will mix in the occasional knee-buckling, rainbow curveball. If teams think Song will have to serve and thus won't be able to pitch again until he's 24, he'll fall to Day 3.",,
"50",,"34/ARI","Drey Jameson","RHP","21.8083333","6' 0""","165","R","R","Ball State",,"40+",,"In front of a huge contingent of scouts, Jameson carved up Stanford in his first start of the 2019 season and was immediately on the map as a draft-eligible sophomore. His high-maintenance delivery is hard to repeat, but it also makes things awkward for hitters, who don't typically see this kind of arm slot/release point. And from that release point emerges nasty stuff. Jameson will touch 98, he manipulates the shape of two good breaking balls, and he'll flash an occasional plus changeup. The delivery may make it hard for him to start and Jameson has a skinny, atypical frame. Some teams think he ends up in relief, but it may be a multi-inning or high-leverage role.","JQEvZJZktbE",
"51",,"64/CHC","Chase Strumpf","2B","21.25","6' 1""","191","R","R","UCLA",,"40",,,,
"52",,"94/WSH","Drew Mendoza","3B","21.6611111","6' 4""","190","L","R","Florida State",,"40",,,,
"53",,"67/NYY","Josh Smith","2B","21.8361111","5' 10""","175","L","R","LSU",,"40",,,,
"54",,"21/ATL","Braden Shewmake","2B","21.5527777","6' 4""","180","L","R","Texas A&M",,"40",,,,
"55",,"27/CHC","Ryan Jensen","RHP","21.5416666","6' 0""","180","R","R","Fresno State",,"40",,,"oQKQsrt6oL0",
"",,"---","Carter Stewart","RHP","19.6","6' 6""","200","R","R","Eastern Florida JC FL","None","40",,,,
"56",,"44/KCR","Brady McConnell","SS","21.0388888","6' 3""","195","R","R","Florida",,"40",,,,
"57",,"75/ARI","Dominic Fletcher","RF","21.7666666","5' 9""","188","L","L","Arkansas",,"40",,,,
"58",,"28/MIL","Ethan Small","LHP","22.3166666","6' 3""","214","L","L","Mississippi State",,"40",,,,
"59",,"40/TBR","Seth Johnson","RHP","20.7194444","6' 0""","200","R","R","Campbell",,"40",,,,
"60",,"53/NYM","Josh Wolf","RHP","18.7694444","6' 2""","175","R","R","St. Thomas HS TX","Texas A&M","40",,,,
"61",,"117/TOR","Will Robertson","RF","21.45","6' 1""","210","L","L","Creighton",,"40",,,,
