Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"11",,"CHC/16","Ed Howard","SS","18.3555555","6' 2""","185","R","R","Mount Carmel HS IL","Oklahoma","45+",,"Perhaps he would have come out of the 2020 blocks having already filled out and showing more raw power, but Howard answered most relevant questions the previous summer when he performed against the best high school pitching all summer on the showcase circuit. That pitching is much better than what Howard would have seen in Illinois this spring. Howard best squares up pitches at the bottom of the strike zone, and although he hasn't been tested regularly at the letters, he's shown flashes of being able to either lay off those pitches, or pull his hands in and find a way to get the barrel there, and even to catch that high pitch way out in front of the plate and hit it in the air to his pull side. Whether Howard is able to fo that against big league velocity is tough to predict, but he has promising feel to hit and an advance approach for a cold weather hitter, as well as perhaps the best defensive footwork in the entire class. He projects as an everday big league shortstop.",,
"12",,"SFG/13","Patrick Bailey","C","21.0194444","6' 2""","192","S","R","North Carolina State",,"45+",,"Bailey is a polished switch-hitter who performed throughout his entire college career (.302/.411/.568) and plays a premium position. He's a capable hitter from both sides of the plate, utilizing a gap approach from the right side and more of a pull/lift one from the left. He's a fine receiver and blocker, catching on one knee until a runner reaches base. Most of Bailey's good pop times rest around 1.95, which is about average. He has a very good chance to be an everyday catcher but likely lacks the offensive impact to be star.",,
"13",,"CIN/12","Austin Hendrick","RF","18.975","6' 1""","195","L","L","West Allegheny HS PA","Mississippi State","45+",,"Kendrick tinkered with his swing last summer amid his issues making contact with showcase pitching, a dry spell made more concerning by his age relative to the rest of the class. It makes him a high-risk prospect, but Hendrick is the most explosive rotator in this whoe class and it really isn't close. He he among the bst raw power projection in the class and it's possible he just needs reps against good pitching, reps he hasn't had as many of coming up in Western Pennsylvania.","ZBiRPVgPvHQ",
"14",,"MIL/20","Garrett Mitchell","CF","21.7555555","6' 3""","205","L","R","UCLA",,"45+",,"Note the gap between Mitchell's projected game power output and his raw juice, one that probably needs a swing change to close. Curt, punchy, and geared for gap contact, Mitchell's current cut is more fluid and dynamic than it was in high school, when teams had million-dollar evals on him despite largely taking issue with his swing efficacy, but he still has limited power utility on pitches away from him. The swing changes Mitchell made at UCLA are perhaps evidence he can make more as a pro, but I think this gap approach works fine and is best depoyed by sprinters like Mitchell, who has retained his plus-plus speed despite bulking up quite a bit since high school. Without impact game power Mitchell is unlikely to be a star, but the offensive improvements he made in college combined with his defensive fit in center give him a good shot to be an everyday center fielder.",,
"15",,"SDP/8","Robert Hassell","CF","18.8083333","6' 2""","195","L","L","Independence HS TN","Vanderbilt","45",,"Hassell wields the most advanced bat of all the high school hitters, spraying contact to all fields against upper-echeleon high school pitching during his pre-draft summer. It's particularly inpressive considering he was a two-way varsity player. Somewhat stiff in the lower half, Hassell is more of a long-striding glider in center field and lacks the pure speed to be an impact defender there. Some teams have him projected in a corner spot but think, even though he doesn't necessarily project to have big power at maturity, that he'll hit enough to profile there. For context, he's a half grade beneath where I had Corbin Carroll evaluated last year (45+ FV)",,
"16",,"TBR/24","Nick Bitsko","RHP","17.9722222","6' 3""","220","R","R","Central Bucks East HS PA","Virginia","45",,"Bitsko announced in January that he was reclassifying from the 2021 class to 2020, making him one of the youngest players in the class but also giving teams a short window of time to evaluate him with his imminent availability in mind. That window was closed due to the pandemic, and so teams' opinions of Bitsko are going to be driven by what they saw last year (he was 92-96 in front of heavy-hitting eyeballs at East Coast Pro) and, in the case of some teams, what they saw in the bullpen just before the shutdown. In both instances, Bitsko's arm strength, curveball, and touch-and-feel command were on par with first round high school arms, though that demographic's track record is scary and being devalued by teams. That, combined with the possibility that some teams won't be comfortable taking a player they've barely seen, makes Bitsko's stock pretty volatile.","jTQS49gZv44",
"17",,"WSH/22","Cade Cavalli","RHP","21.8111111","6' 4""","225","R","R","Oklahoma",,"45",,"A chiseled 6-foot-4, 225, Cavalli has a relatively short track record compared to other college pitchers because he was mostly a hitter as a freshman (he was coming off a back injury that kept him from pitching as a high school senior), missed time as a sophomore with a stress reaction, and had his junior season washed by the pandemic. In his four 2020 starts Cavalli was electric, routinely sitting in the mid-90s and touching above, locating a late-breaking, mid-80s slider, and even getting some chases on a hard, sinking changeup. He still spikes too many of those changeups but, again, Cavalli hasn't pitched a whole lot so the cambio and other minutae could come later. ",,
"18",,"SDP/80","Cole Wilcox","RHP","20.8944444","6' 5""","230","R","R","Georgia",,"45",,"Wilcox pitched out of the bullpen throughout much of his freshman year and was routinely sitting 97-99 in that role, often touching 100. As a starter in 2020 Wilcox was sitting 93-96 with more consistent command (he walked no hitters in his final three starts and walked just two in 23 total innings) than he had as a freshman, and more effective slider shape. When it's right, Wilcox has a biting, two-plane out pitch in the slide piece, which sits in the 85-89 range and often has more length than any pitch that hard has a right to be. Those two pitches and his current command would be enough to project Wilcox in a late-inning bullpen role, but a better change or split (the development of which was slowed by his freshman role) would enable him to be a mid-rotation piece so long as he retains his velo in pro ball, since the shape of the heater makes it velo-dependent.","mUKE04zP5UU",
"19",,"LAD/66","Clayton Beeter","RHP","21.6583333","6' 2""","220","R","R","Texas Tech",,"45",,"Beeter had a TJ in 2017 and an arthroscopic surgery in 2018, then pitched in relief in 2019. He came out as a starter in 2020 and was electric, sitting in the mid-90s with two plus, or better, breaking balls. His fastball has big carry thanks to its backspinning axis, and it works similar to the way Nick Anderson's does, as do his breaking balls. He's a candidate for immediate placement on a taxi squad during the 2020 season and could pitch out of a big league bullpen this year if he throws strikes in whatever developmental environment MLB puts in place. Beeter walked a batter per inning in 2019 but threw strikes this spring, albeit across just four starts.",,
"20",,"OAK/26","Tyler Soderstrom","C","18.5333333","6' 2""","200","L","R","Turlock HS CA","UCLA","45",,"He's not a lock to catch and some teams would like to run him out as a corner outfielder or third baseman (or some combination of the three, which I consider most interesting), but what's driving Soderstrom's stock is his bat. He made lots of quality contact during his showcase summer and is one of the more polished high school hitters in this draft. Juxtaposing his advanced offense is Soderstrom's defense. He split time behind the plate on his high school team, then was asked to catch premium stuff from pitchers with whom he had no experience during his showcase summer. I think we've only seen the tip of his defensive iceberg, but working to develop SOderstrom glove probably means slowing the development of his bat, and exposing him to the brutal grind of catching which often dilutes offensive production. The track record for high school catchers is pretty scary but it makes sense that the teams that like Soderstrom most think he can do it.",,
"21",,"ARI/33","Slade Cecconi","RHP","20.95","6' 4""","220","R","R","Miami",,"45",,"Cecconi was sitting 94-97 in the summer before his senior year of high school, then missed most of the following spring with an oblique issues. He came back just before the draft, sat in the low-90's, his stock couldn't recover, and so he went to school. Over two years at Miami (he's an eligible sophomore) his arm strength returned and he is once again living in the mid-90s while incorporating a slider with variable shape (it has very nasty two-plane break when it's well-located), and a lesser (but viable) change and cutter.",,
"22",,"CHW/11","Garrett Crochet","LHP","20.9583333","6' 5""","210","L","L","Tennessee",,"45",,"Crochet spent most of his college career coming out of the bullpen and made just one start in 2020 after missing the first few weeks of the season with what the team claimed was shoulder soreness, which MLB teams are skeptical of and think had to do with an off-the-field matter. In his one appearance Crochet threw 3.1 innings and was absolutely electric, touching 99 and flashing a 70-grade slider. How teams value him (relief risk, injury or makeup issues) is highly variable but those focused on his pitch data think he has among the best raw stuff in the class and is one of the few pitchers available who might pitch at the top of a rotation or in the back of a bullpen.","B6TbAPJuzyA",
"23",,"ARI/18","Bryce Jarvis","RHP","22.4444444","6' 2""","195","L","R","Duke",,"45",,"In 2019, Jarvis was 88-92 with an average breaker, above-average changeup, and good feel to pitch. This season his velo climbed into 93-94 area without sacrificing any command and his changeup was consistently plus. From a pitch movement demarcation standpoint, Jarvis does things a lot of progressive teams really like, and his breaking ball is likely to perform above its raw raw grade because of how well it's located. He profiles as a fourth starter based on 2020 looks, but the industry can't be sure he'll hold this new velo over an entire campaign.",,
"24",,"NYM/52","J.T. Ginn","RHP","21.0444444","6' 2""","200","R","R","Mississippi State",,"45",,"Ginn had some relief and age-related risk coming out of high school (the Dodgers picked him in the back of round one but couldn't get a deal done) but he began to quell the bullpen concerns during his freshman season at Mississippi State, and his age was not only to become irrelevant but arguably a point in his favor as a draft-eligible sophomore. His first year in Starkville, Ginn was up to 96, flashing the same plus slider he had in high school, but more imporanyl he walked just 19 hitters in 86 innings. He entered his draft-eligible sophomore year in the middle of a crowded group of first round college arms, but tore his UCL during his first start and needed Tommy John. He'll be back late in 2021 and projects as a no. 4 starter.","cqH8dHsLdMQ",
"25",,"NYM/19","Pete Crow-Armstrong","CF","18.1972222","6' 1""","180","L","L","Harvard Westlake HS CA","Vanderbilt","45",,"Crow-Armstrong was one of the earliest 2020 high schoolers identified as a likely first round talent because of how well he performed against older showcase competition and SoCal varsity pitching. He had a rough pre-draft showcase summer, and while he rebounded later in 2019 with Team USA, he didn't have an extended opportunity to do so throughout the 2020 season. Crow-Armstrong did, however, come out having added substantial muscle and some teams think he'll hit for more power than the industry would have projected based on 2019 looks. The headline skill here, though, is PCA's defense in center field, which is the best in the draf tclass regardless of demographic.","OKVGzkQFc7A",
"26",,"TEX/14","Justin Foscue","2B","21.2611111","6' 0""","201","R","R","Mississippi State",,"45",,"Every year scouts enter pre-draf tmeeting with the rest of the org and learn who their analysts' models like more than they expected, and this year Foscue was one of them. It makes logical sense, he hit .297/.380/.482 in college, most of that agains SEC competition, and at just 21.3 years old on draft day he's on the younger end of the college spectrum. Foscue's plate coverage, from the top of the zone to the bottom, is exceptional. He has vanilla physical tools but projects as a plus hitter, which even with 40 game power probably profiles at second base. There's a college bat vacuum in the middle of the first round and up-the-middle performers like Foscue are likely to fill it.",,
"27",,"LAD/29","Bobby Miller","RHP","21.1694444","6' 5""","220","L","R","Louisville",,"45",,"Miller has a long, atypical arm action but he throws a starter-worthy ratio of strikes and holds his velo deep into games, reaching back for 95-97 when he needs it. He moved into Louisville's rotation part way through his sophomore year, so his track record of starting is fairly short. In addition to the velocity, Miller has a plus, mid-80s slider and a developing power change. Teams more comfortable with the delivery have him in the middle of round one as a potential no. 4 starter.",,
"28",,"CHW/47","Jared Kelley","RHP","18.675","6' 2""","225","R","R","Refugio HS TX","Texas","45",,"Kelley goes right at hitters with upper-90s gas and has a disappearing changeup. His curveball is occasionally average but more often is below, and breaking ball spin is seen as something a pitching prospect either has or does not, so the ceiling on that pitch is viewed as limited. If the curveball can be average then Kelle can be a mid-rotation starter. If not, he has late-inning relief stuff.",,
"29",,"DET/38","Dillon Dingler","C","21.7194444","6' 3""","210","R","R","Ohio State",,"45",,"A converted/part-time outfielder, Dingler has rare athleticism for a catcher and he's also surprisingly good at receiving considering his relative inexperience. He has some raw power but his swing path isn't really geared for it in games yet, though a broken hamate compromised his in-game power output as a sophomore. ",,
"30",,,"Tanner Witt","RHP","17.9027777","6' 5""","200","R","R","Episcopal HS TX","Texas","45",,"Witt is not on some teams' draft boards. Texas is so full of prospects and so spread out, geographically, that teams often struggle to see all of the relevant prospects in a given area in a single trip. During a shortened spring this was especially true, and because Witt is a two-way player who also spent a lot of showcase time at third base the summer before the draft, teams have had even fewer looks at him. He is also rumored to be a tough sign. All of these make his stock quite volatile, but from a talent standpoint, Witt's combination of present velocity, physical projection and precocious curveball, belong in the back of round one. ",,
"31",,,"Carson Montgomery","RHP","17.8138888","6' 2""","200","R","R","West Orange HS FL","Florida State","45",,,"8ApUq-asA-Y",
"32",,"BAL/30","Jordan Westburg","SS","21.3","6' 3""","191","R","R","Mississippi State",,"45",,,,
"33",,"KCR/32","Nick Loftin","SS","21.6972222","6' 1""","180","R","R","Baylor",,"45",,,,
"34",,"CIN/48","Christian Roa","RHP","21.1777777","6' 4""","210","R","R","Texas A&M",,"40+",,,,
"35",,"MIL/53","Freddy Zamora","SS","21.5972222","6' 1""","190","R","R","Miami",,"40+",,,,
"36",,"SDP/34","Justin Lange","RHP","18.7361111","6' 4""","185","R","R","Llano HS TX","Dallas Baptist","40+",,,,
"37",,"MIN/27","Aaron Sabato","1B","21.0055555","6' 2""","230","R","R","North Carolina",,"40+",,,,
"38",,"DET/62","Daniel Cabrera","LF","21.7527777","6' 1""","195","L","L","LSU",,"40+",,,,
"39",,"STL/54","Masyn Winn","RHP/SS","18.2083333","5' 10""","180","R","R","Kingwood HS TX","Arkansas","40+",,,,
"40",,"NYY/28","Austin Wells","1B","20.9","6' 1""","220","L","R","Arizona",,"40+",,,,
"41",,"STL/21","Jordan Walker","3B","18.0388888","6' 5""","220","R","R","Decatur HS GA","Duke","40+",,,,
"42",,"TOR/42","C.J. Van Eyk","RHP","21.725","6' 1""","200","R","R","Florida State",,"40+",,,,
"43",,"PHI/87","Casey Martin","SS","21.1638888","5' 11""","180","R","R","Arkansas",,"40+",,,,
"44",,"CHC/51","Burl Carraway","LHP","21.025","6' 0""","173","L","L","Dallas Baptist",,"40+",,,,
"45",,"MIA/40","Dax Fulton","LHP","18.6388888","6' 6""","220","L","L","Mustang HS OK","Oklahoma","40+",,,,
"46",,,"Dylan Crews","RF","18.2777777","6' 0""","190","R","R","Lake Mary HS FL","LSU","40+",,,"yuOejbqs8OA",
"47",,,"Tommy Mace","RHP","21.5694444","6' 6""","210","R","R","Florida",,"40+",,,"k_zjkZW86Do",
"48",,"PIT/31","Carmen Mlodzinski","RHP","21.2972222","6' 2""","230","R","R","South Carolina",,"40+",,,,
"49",,"COL/46","Chris McMahon","RHP","21.3388888","6' 2""","205","R","R","Miami",,"40+",,,,
"50",,,"Drew Bowser","3B","18.6777777","6' 3""","205","R","R","Harvard Westlake HS CA","Stanford","40+",,,,
"51",,"SFG/67","Nick Swiney","LHP","21.3166666","6' 3""","181","R","L","North Carolina State",,"40+",,,,
"52",,,"Kevin Parada","C","18.8416666","6' 0""","200","R","R","Loyola HS CA","Georgia Tech","40+",,,,
"53",,"MIA/61","Kyle Nicolas","RHP","21.2888888","6' 3""","225","R","R","Ball State",,"40+",,,,
"54",,"CLE/23","Carson Tucker","SS","18.3666666","6' 1""","175","R","R","Mountain Pointe HS AZ","Texas","40+",,,,
"55",,"BAL/74","Anthony Servideo","SS","21.2361111","5' 10""","175","L","R","Ole Miss",,"40+",,,,
"56",,"CLE/36","Tanner Burns","RHP","21.4388888","6' 0""","215","R","R","Auburn",,"40+",,,"xMsuCeUZ6NE",
"57",,"CLE/56","Logan Allen","LHP","21.7527777","6' 0""","180","R","L","Florida International",,"40+",,,,
"58",,,"Elijah Nunez","CF","18.5","5' 9""","165","L","L","Martin HS TX","TCU","40+",,,,
"59",,"CLE/95","Petey Halpin","CF","18.0277777","6' 0""","180","L","R","St. Francis HS CA","Texas","40+",,,,
"60",,,"Jace Bohrofen","RF","18.6305555","6' 2""","195","L","R","Westmoore HS OK","Oklahoma","40+",,,,
"61",,,"Corey Collins","C","18.6555555","6' 3""","205","R","R","North Gwinnett HS GA","Georgia","40+",,,,
"62",,"ATL/25","Jared Shuster","LHP","21.8416666","6' 3""","210","L","L","Wake Forest",,"40+",,,,
"63",,,"Parker Chavers","CF","21.8638888","5' 11""","185","L","R","Coastal Carolina",,"40+",,,,
"64",,,"Cade Horton","RHP/SS","18.7944444","6' 2""","190","R","R","Norman HS OK","Oklahoma","40+",,,,
"65",,,"Chase Davis","RF","18.5027777","6' 1""","210","L","L","Franklin HS CA","Arizona","40+",,,,
"66",,"COL/35","Drew Romo","C","18.7694444","6' 1""","205","S","R","The Woodlands HS TX","LSU","40+",,,,
"67",,"BAL/103","Coby Mayo","RF","18.4888888","6' 4""","205","R","R","Stoneman Douglas HS FL","Florida","40+",,,,
"68",,,"Robby Ashford","CF","17.6805555","6' 4""","210","R","R","Hoover HS AL","Oregon","40+",,,,
"69",,,"Yohandy Morales","3B","18.6583333","6' 4""","180","R","R","Braddock HS FL","Miami","40+",,,"5MnLngWmO9A",
"70",,"WSH/55","Cole Henry","RHP","20.8916666","6' 4""","215","R","R","LSU",,"40+",,,,
"71",,"STL/63","Markevian Hence","RHP","17.8333333","5' 11""","160","R","R","Watson Chapel HS AR","Arkansas","40+",,,,
"72",,,"Alejandro Rosario","RHP","18.4166666","6' 1""","170","R","R","Miami Christian HS FL","Miami","40+",,,"S0G4mIFH5YE",
"73",,"LAA/82","David Calabrese","CF","17.6944444","5' 11""","160","L","R","St. Elizabeth Catholic HS CAN","Arkansas","40",,,,
"74",,"SEA/43","Zach DeLoach","CF","21.8","6' 2""","200","L","R","Texas A&M",,"40",,,,
"75",,"TBR/57","Ian Seymour","LHP","21.4805555","6' 0""","190","L","L","Virginia Tech",,"40",,,,
"76",,"BAL/39","Hudson Haskin","CF","21.4333333","6' 2""","195","R","R","Tulane",,"40",,,,
"77",,"TBR/37","Alika Williams","SS","21.2333333","6' 2""","180","R","R","Arizona State",,"40",,,,
"78",,"NYY/129","Beck Way","RHP","20.8333333","6' 3""","190","R","R","Northwest Florida JC FL","LSU","40",,,,
"79",,"SFG/114","R.J. Dabovich","RHP","21.4027777","6' 3""","215","R","R","Arizona State",,"40",,,,
"80",,,"Alex Toral","1B","21.3611111","6' 1""","220","L","L","Miami",,"40",,,,
"81",,"HOU/72","Alex Santos","RHP","18.3222222","6' 3""","187","R","R","Mount St. Michael HS NY","Maryland","40",,,,
"82",,"MIL/151","Hayden Cantrelle","2B","21.5305555","5' 11""","175","S","R","Louisiana Lafayette",,"40",,,,
"83",,,"Seth Lonsway","LHP","21.6638888","6' 3""","195","L","L","Ohio State",,"40",,,,
"84",,"SEA/64","Connor Phillips","RHP","19.0888888","6' 2""","185","R","R","McLennan JC TX","None","40",,,,
"85",,"STL/122","Ian Bedell","RHP","20.7527777","6' 2""","198","R","R","Missouri",,"40",,,,
"86",,"PIT/79","Nick Garcia","RHP","21.1277777","6' 3""","210","L","R","Chapman",,"40",,,,
"87",,"SFG/49","Casey Schmitt","3B/RHP","21.2638888","6' 2""","200","R","R","San Diego State",,"40",,,,
"88",,,"Nick Griffin","LHP/RF","17.9888888","6' 4""","175","L","L","Monticello HS AR","Arkansas","40",,,,
"89",,,"Cam Brown","RHP","18.6416666","6' 3""","210","R","R","Flower Mound HS TX","TCU","40",,,,
"90",,"DET/102","Gage Workman","3B","20.6166666","6' 4""","200","S","R","Arizona State",,"40",,,,
"91",,"PIT/44","Jared Jones","RHP","18.8333333","6' 2""","175","R","R","La Mirada HS CA","Texas","40",,,,
"92",,"TBR/96","Hunter Barnhart","RHP","18.3111111","6' 2""","195","R","R","St. Joseph HS CA","Arizona State","40",,,,
"93",,,"Enrique Bradfield Jr.","CF","18.5111111","6' 1""","155","L","L","American Heritage HS FL","Vanderbilt","40",,,,
"94",,,"Will Sanders","RHP","18.1833333","6' 6""","195","R","R","Woodward Academy HS GA","South Carolina","40",,,,
"95",,,"Harold Coll","SS","18.85","5' 11""","170","R","R","George Premier Academy HS GA","North Carolina","40",,,,
"96",,"KCR/105","Christian Chamberlain","LHP","20.8777777","5' 11""","172","L","L","Oregon State",,"40",,,,
"97",,"MIL/121","Joey Wiemer","RF","21.3194444","6' 5""","215","R","R","Cincinnati",,"40",,,,
"98",,,"Hugh Fisher","LHP","21.3194444","6' 5""","185","R","L","Vanderbilt",,"40",,,,
"99",,,"Ryan Bruno","LHP","18.4222222","6' 2""","175","L","L","American Heritage HS FL","Stanford","40",,,,
"100",,"MIA/75","Zach McCambley","RHP","21.1194444","6' 1""","205","L","R","Coastal Carolina",,"40",,,,
"101",,,"Jack Leftwich","RHP","21.6944444","6' 2""","210","R","R","Florida",,"40",,,"s7GsZFp7gHk",
"102",,"SEA/107","Tyler Keenan","3B","21.275","6' 3""","240","L","R","Ole Miss",,"40",,,,
"103",,"SFG/85","Kyle Harrison","LHP","18.8166666","6' 2""","200","R","L","De La Salle HS CA","UCLA","40",,,,
"104",,"KCR/76","Tyler Gentry","RF","21.3472222","6' 2""","205","R","R","Alabama",,"40",,,,
"105",,"COL/81","Sam Weatherly","LHP","21.0222222","6' 3""","205","L","L","Clemson",,"40",,,,
"106",,"LAD/60","**Landon Knack","RHP","23.3916666","6' 2""","225","R","R","East Tennessee State",,"40",,,,
"107",,"NYY/99","Trevor Hauver","LF","21.5444444","6' 0""","205","L","R","Arizona State",,"40",,,,
"108",,"STL/70","Alec Burleson","RF/LHP","21.5305555","6' 2""","214","L","L","East Carolina",,"40",,,,
"109",,,"Michael Rothenberg","C","21.6694444","6' 3""","210","S","R","Duke",,"40",,,,
"110",,"SEA/78","Kaden Polcovich","2B","21.2916666","5' 10""","195","S","R","Oklahoma State",,"40",,,,
"111",,,"Ryan Hagenow","RHP","17.9861111","6' 5""","195","R","R","Farragut HS TN","Kentucky","40",,,,
"112",,,"Jackson Leath","RHP","20.9611111","6' 1""","185","R","R","Tennessee",,"40",,,,
"113",,,"Luke Waddell","2B","21.8972222","5' 9""","176","L","R","Georgia Tech",,"40",,,,
"114",,"MIL/92","Zavier Warren","3B","21.4111111","6' 0""","190","S","R","Central Michigan",,"40",,,,
